????,?????????????????,????????????,?????????????????,????????????????
9691,FALSE,FALSE,FALSE,FALSE
9074,FALSE,FALSE,FALSE,FALSE
9109,FALSE,FALSE,FALSE,FALSE
9752,FALSE,FALSE,FALSE,FALSE
9830,FALSE,FALSE,FALSE,FALSE
9834,FALSE,FALSE,FALSE,FALSE
10008,FALSE,FALSE,FALSE,FALSE
10101,FALSE,FALSE,FALSE,FALSE
10320,FALSE,FALSE,FALSE,FALSE
238,FALSE,FALSE,FALSE,FALSE
239,FALSE,FALSE,FALSE,FALSE
2728,FALSE,FALSE,FALSE,FALSE
7134,FALSE,FALSE,FALSE,FALSE
9598,FALSE,FALSE,FALSE,FALSE
10306,FALSE,FALSE,FALSE,FALSE
10309,FALSE,FALSE,FALSE,FALSE
6768,FALSE,FALSE,FALSE,FALSE
9780,FALSE,FALSE,FALSE,FALSE
10129,FALSE,FALSE,FALSE,FALSE
10431,FALSE,FALSE,FALSE,FALSE
10414,FALSE,FALSE,FALSE,FALSE
10393,FALSE,FALSE,FALSE,FALSE
7047,FALSE,FALSE,FALSE,FALSE
6670,FALSE,FALSE,FALSE,FALSE
8765,FALSE,FALSE,FALSE,FALSE
8412,FALSE,FALSE,FALSE,FALSE
7810,FALSE,FALSE,FALSE,FALSE
5014,FALSE,FALSE,FALSE,FALSE
10369,FALSE,FALSE,FALSE,FALSE
4369,FALSE,FALSE,FALSE,FALSE
9491,FALSE,FALSE,FALSE,FALSE
10140,FALSE,FALSE,FALSE,FALSE
8791,FALSE,FALSE,FALSE,FALSE
737,FALSE,FALSE,FALSE,FALSE
1161,FALSE,FALSE,FALSE,FALSE
1360,FALSE,FALSE,FALSE,FALSE
4630,FALSE,FALSE,FALSE,FALSE
11772,FALSE,FALSE,FALSE,FALSE
4713,FALSE,FALSE,FALSE,FALSE
6021,FALSE,FALSE,FALSE,FALSE
6436,FALSE,FALSE,FALSE,FALSE
6982,FALSE,FALSE,FALSE,FALSE
7996,FALSE,FALSE,FALSE,FALSE
8496,FALSE,FALSE,FALSE,FALSE
8682,FALSE,FALSE,FALSE,FALSE
9249,FALSE,FALSE,FALSE,FALSE
9365,FALSE,FALSE,FALSE,FALSE
9423,FALSE,FALSE,FALSE,FALSE
9857,FALSE,FALSE,FALSE,FALSE
9905,FALSE,FALSE,FALSE,FALSE
9950,FALSE,FALSE,FALSE,FALSE
10305,FALSE,FALSE,FALSE,FALSE
10693,FALSE,FALSE,FALSE,FALSE
10758,FALSE,FALSE,FALSE,FALSE
10900,FALSE,FALSE,FALSE,FALSE
10906,FALSE,FALSE,FALSE,FALSE
10964,FALSE,FALSE,FALSE,FALSE
11035,FALSE,FALSE,FALSE,FALSE
11817,FALSE,FALSE,FALSE,FALSE
11979,FALSE,FALSE,FALSE,FALSE
11997,FALSE,FALSE,FALSE,FALSE
12153,FALSE,FALSE,FALSE,FALSE
11998,FALSE,FALSE,FALSE,FALSE
5975,FALSE,FALSE,FALSE,FALSE
11084,FALSE,FALSE,FALSE,FALSE
12213,FALSE,FALSE,FALSE,FALSE
11816,FALSE,FALSE,FALSE,FALSE
1467,FALSE,FALSE,FALSE,FALSE
8988,FALSE,FALSE,FALSE,FALSE
11298,FALSE,FALSE,FALSE,FALSE
9873,FALSE,FALSE,FALSE,FALSE
12085,FALSE,FALSE,FALSE,FALSE
12152,FALSE,FALSE,FALSE,FALSE
12167,FALSE,FALSE,FALSE,FALSE
12187,FALSE,FALSE,FALSE,FALSE
